English,Vietnamese
reference,tài liệu tham khảo
anniversary,ngày kỷ niệm
unlimited,vô hạn
australian,người Úc
pediatric,nhi khoa
returning,trở về
preferred,ưu tiên
protective,bảo vệ
explained,giải thích
creatures,sinh vật
transexuales,transexuales.
consulting,Tư vấn
petroleum,dầu mỏ.
effectively,có hiệu quả
statutory,theo luật định
committed,tận tụy
thumbzilla,Thumbzilla.
astrology,chiêm tinh
supplemental,bổ sung
demonstration,trình diễn.
brunswick,Brunswick.
supplement,phần bổ sung
invitations,lời mời
relatively,tương đối
estimated,ước lượng
cancellation,hủy bỏ
nationwide,Trên toàn quốc
participation,sự tham gia
agricultural,nông nghiệp
periodically,định kỳ
adjustments,điều chỉnh.
education,giáo dục
religions,tôn giáo
extremely,cực kì
declaration,tờ khai
gibraltar,Gibraltar.
graduation,tốt nghiệp
messaging,Nhắn tin.
questionnaire,bảng câu hỏi
provincial,Tỉnh
individually,cá nhân.
dedicated,tận tụy
translated,dịch.
installations,lắp đặt.
preferences,sở thích
electricity,điện lực
specialized,chuyên nghành
encourages,khuyến khích
predictions,phỏng đoán
frankfurt,Frankfurt.
capabilities,Khả năng
occasions,dịp
conversation,cuộc hội thoại
subscribe,đặt mua
demographic,nhân khẩu học
appliances,thiết bị
terminals,thiết bị đầu cuối
converted,chuyển đổi
replacing,thay thế
discussed,thảo luận
demonstrates,chứng minh.
identical,giống hệt nhau
hierarchy,hệ thống cấp bậc
holocaust,Holocaust.
principal,hiệu trưởng
springfield,Springfield.
designated,được chỉ định.
maintaining,duy trì
personalized,cá nhân hóa
interfaces,giao diện.
donations,Quyên góp
sheffield,sheffield.
similarly,tương tự
perfectly,hoàn hảo
threatening,Đe dọa
aluminium,nhôm
treatment,sự đối đãi
submission,nộp hồ sơ
permitted,được phép
collector,nhà sưu tập.
agriculture,nông nghiệp
variation,Biến thể.
retention,giữ lại
macromedia,macromedia.
discussion,thảo luận
effectiveness,hiệu quả
affiliates,Chi nhánh
modelling,mô hình hóa
journalist,nhà báo
minneapolis,minneapolis.
contamination,ô nhiễm
singapore,Singapore
representatives,Đại diện
lightning,Lightning.
furnishings,Nội thất
configured,cấu hình
introduces,Giới thiệu.
relocation,tái định cư
breakfast,bữa ăn sáng
schedules,Lịch trình
confusion,sự hoang mang
distributions,phân phối.
soundtrack,nhạc phim
christmas,Giáng sinh
listening,nghe
outstanding,vượt trội
announcement,sự thông báo
britannica,Britannica.
announces,thông báo
musicians,nhạc sĩ
instrument,dụng cụ
consideration,Sự xem xét
reservations,đặt phòng
macedonia,macedonia.
expenditures,chi tiêu.
pittsburgh,Pittsburgh.
bankruptcy,Phá sản.
therapeutic,trị liệu.
commissions,Hoa hồng
candidate,ứng viên
organisations,tổ chức
lauderdale,Lauderdale.
alternatives,lựa chọn thay thế
interstate,Liên bang.
rendering,kết xuất.
temperature,nhiệt độ
productivity,năng suất
programmes,Chương trình
sacrifice,hy sinh
disclosure,tiết lộ
proposals,đề xuất.
extraordinary,đặc biệt
indication,chỉ định.
perspectives,quan điểm
commonwealth,liên bang
gentleman,Quý ông.
provinces,Các tỉnh
presenting,trình bày
recommended,khuyến khích
cardiovascular,tim mạch.
calculator,máy tính
structure,kết cấu
projectors,máy chiếu
televisions,Ti vi
personally,Cá nhân.
connection,sự liên quan
disability,khuyết tật
exhibitions,triển lãm
consumers,người tiêu dùng
discounts,Giảm giá
wisconsin,Wisconsin.
continuing,tiếp tục
diagnosis,chẩn đoán
anonymous,vô danh
instruction,hướng dẫn
undertake,thực hiện
handhelds,Thiết bị cầm tay
chemistry,hóa học
metallica,Metallica.
furnished,trang bị
applicable,áp dụng
witnesses,Nhân chứng
privilege,Đặc quyền
municipal,thành phố.
collectibles,Sưu tầm
celebration,lễ ăn mừng
jurisdiction,quyền hạn
registrar,Nhà đăng ký.
professional,cao thủ
generated,tạo ra
netherlands,nước Hà Lan
appearance,vẻ bề ngoài
destroyed,bị phá hủy.
interesting,thú vị
physiology,Sinh lý học.
migration,di cư.
constitution,Tổ chức
computers,máy tính
reputation,uy tín
numerical,số.
proprietary,chủ sở hữu
complications,biến chứng
constantly,liên tục
instances,trường hợp
important,quan trọng
integrity,thanh Liêm
controversy,tranh cãi
lightweight,Nhẹ
entertainment,giải trí
beneficial,có lợi
translation,dịch
consensus,đoàn kết
wallpaper,hình nền
observations,quan sát
continuous,tiếp diễn
greensboro,Greensboro.
governing,quản lý.
connectivity,Kết nối
journalism,Báo chí.
warranties,bảo hành
suspension,Huyền phù
navigator,hoa tiêu
automotive,Ô tô
maintained,duy trì
mozambique,Mozambique.
according,theo
businesses,các doanh nghiệp
vocational,Dạy nghề
concentrate,tập trung
preparing,chuẩn bị
predicted,dự đoán
manufacturer,nhà chế tạo
provision,sự cung cấp
christians,Thiên Chúa giáo
increased,tăng
bloomberg,Bloomberg.
equivalent,tương đương
conclusion,phần kết luận
technology,Công nghệ
essentially,bản chất
hollywood,Hollywood.
securities,chứng khoán.
participating,tham gia
forgotten,quên
beautiful,xinh đẹp
chemicals,hóa chất
disabilities,Khuyết tật
occupational,nghề nghiệp
selections,lựa chọn
cathedral,Thánh đường
participants,những người tham gia
consistently,nhất quán
alternative,thay thế
households,hộ gia đình
downloadable,Tải về
referrals,giới thiệu
celebrity,Danh nhân
passenger,hành khách
secretariat,Ban thư ký
graphical,đồ họa.
imagination,trí tưởng tượng
mechanisms,cơ chế
designers,Nhà thiết kế
manufacturing,chế tạo
participated,tham gia
interactions,TƯƠNG TÁC
terrorism,Khủng bố.
limousines,xe limousines.
representative,Tiêu biểu
cholesterol,cholesterol.
consisting,bao gồm
instructors,giáo viên hướng dẫn
nashville,Nashville.
newspapers,Báo
transsexual,Chuyển đổi giới tính
compression,nén
evaluated,đánh giá
electoral,bầu cử.
excitement,phấn khích
spotlight,đốm sáng
appearing,xuất hiện
geographic,Địa lý
conventional,thông thường
refrigerator,tủ lạnh
southwest,tây nam
manchester,Manchester.
hospitals,BỆNH VIỆN.
instantly,ngay lập tức
displayed,hiển thị
groundwater,Nước ngầm
independence,Sự độc lập
operators,Các nhà khai thác.
nutritional,dinh dưỡng
dependent,phụ thuộc
bestsellers,bán chạy nhất
variables,biến
equilibrium,cân bằng
expression,biểu hiện
materials,vật liệu
successfully,thành công
syndication,cung cấp
explaining,giải thích
preparation,sự chuẩn bị
potentially,có tiềm năng
architecture,ngành kiến ​​trúc
multimedia,Đa phương tiện.
stainless,không gỉ
interpretation,diễn dịch
consultant,tư vấn
affordable,giá cả phải chăng
condition,tình trạng
washington,Washington.
recreation,giải trí.
dominican,Dominican.
languages,Ngôn ngữ.
affecting,ảnh hưởng đến
charlotte,Charlotte.
politicians,chính trị gia.
satisfactory,thỏa đáng
possibility,khả năng
universal,phổ quát
ownership,quyền sở hữu
restricted,hạn chế
execution,chấp hành
procurement,tạp vụ
satisfied,thỏa mãn
emergency,trường hợp khẩn cấp
regression,hồi quy
navigation,dẫn đường
peninsula,bán đảo.
equations,phương trình
conviction,"lòng tin chắc, sự kết án, phán quyết"
definition,Định nghĩa
vegetable,rau
understand,hiểu biết
deviation,sai lệch
discounted,giảm giá
dictionaries,Từ điển.
collectors,Nhà sưu tập
discharge,phóng điện
commission,nhiệm vụ
observation,quan sát
determine,quyết tâm
tolerance,lòng khoan dung
telescope,Kính thiên văn
warehouse,Kho
psychology,tâm lý
prostores,tiền liệt tuyến
workshops,hội thảo
accomplished,hoàn thành
nicaragua,nicaragua.
competent,có thẩm quyền
platforms,nền tảng
minnesota,Minnesota.
partnership,hợp tác
combinations,kết hợp
partition,vách ngăn
precipitation,sự kết tủa
revolutionary,Cách mạng.
authorization,Ủy quyền.
instructional,hướng dẫn
injection,mũi tiêm
experiment,thí nghiệm
interests,Sở thích
boundaries,ranh giới
inexpensive,không tốn kém
personnel,nhân viên
determines,xác định.
foundations,nền tảng.
unfortunately,không may
atmosphere,bầu khí quyển
biodiversity,sự đa dạng sinh học
opposition,Sự đối lập
evaluations,đánh giá
sustained,duy trì
complicated,phức tạp
broadband,băng thông rộng
documented,ghi lại
recognized,được công nhận
decorating,trang trí.
resistance,Sức cản
guarantee,Bảo hành
prerequisite,điều kiện tiên quyết
investing,đầu tư
impossible,Không thể nào
meditation,thiền
integrated,tích hợp
cooperation,sự hợp tác
endangered,nguy cơ tuyệt chủng
crossword,ô chữ
lancaster,Lancaster.
newsletters,Bản tin
paintball,paintball.
continued,tiếp tục
processing,Chế biến
bibliography,thư mục
coalition,liên minh
mediterranean,Địa Trung Hải.
protecting,bảo vệ
contemporary,đương thời
comprehensive,toàn diện
financial,tài chính
finishing,hoàn thiện
occasionally,thỉnh thoảng
investigate,khảo sát
parameter,tham số
hampshire,Hampshire.
generations,các thế hệ
investors,Nhà đầu tư
consolidation,Hợp nhất.
screensaver,bảo vệ màn hình
authority,thẩm quyền
accreditation,công nhận
republican,Cộng hòa.
otherwise,nếu không thì
complement,bổ sung
scenarios,kịch bản.
featuring,đặc trưng
experienced,có kinh nghiệm
sufficient,hợp lý
trackbacks,trackbacks.
advantages,thuận lợi
positioning,định vị
efficiently,hiệu quả
correlation,tương quan
appointed,bổ nhiệm
longitude,kinh độ
telephone,Điện thoại
recognition,sự công nhận
investigation,cuộc điều tra
mastercard,Mastercard.
indigenous,bản địa
technique,kĩ thuật
validation,Thẩm định
responses,Phản hồi
considerable,đáng kể
keyboards,những bàn phím
commitments,cam kết
currently,Hiện nay
references,người giới thiệu
mortgages,Thế chấp
principle,nguyên tắc
contractors,nhà thầu
specifics,Cụ thể
administered,quản lý
conventions,công ước
classical,cổ điển.
polyphonic,đa âm
experiences,kinh nghiệm
relationship,mối quan hệ
classifieds,Rao vặt.
amendment,sửa đổi.
measurements,đo
improving,nâng cao
conferences,hội nghị
sustainable,bền vững
substantially,đáng kể
operations,Hoạt động
illustrations,Hình minh họa
broadcasting,phát thanh truyền hình
offerings,dịch vụ
prisoners,tù nhân
economics,Kinh tế học
relatives,họ hàng
officially,Chính thức
generating,tạo ra
apartments,Căn hộ
acquisitions,mua lại.
utilities,TIỆN ÍCH
characteristics,đặc trưng
manufactured,được sản xuất
terrorists,khủng bố
competing,cạnh tranh
parameters,thông số
intervals,khoảng thời gian
submitted,ĐĂNG KÝ
expansion,sự bành trướng
venezuela,venezuela.
permission,sự cho phép
promoting,quảng bá.
transmission,truyền tải
additionally,Ngoài ra
citysearch,CitySearch.
officials,quan chức
northeast,Đông Bắc.
purchased,mua
webmasters,quản trị web.
wilderness,hoang dã
copyrighted,Bản quyền
extensions,mở rộng
harassment,quấy rối.
criticism,sự chỉ trích
javascript,JavaScript.
conducted,tiến hành
recommendation,sự giới thiệu
constitutional,hiến pháp
hazardous,nguy hiểm
communication,giao tiếp
verzeichnis,verzeichnis.
educators,Nhà giáo dục
molecular,phân tử.
eliminate,loại bỏ
thumbnail,hình nhỏ
subsection,tiểu mục
nationally,quốc gia
wholesale,bán sỉ
assessments,đánh giá
elections,Bầu cử
passengers,hành khách
scripting,kịch bản
recovered,phục hồi
concerning,liên quan
resources,tài nguyên
transcription,phiên mã
customized,tùy chỉnh.
christianity,Kitô giáo.
flexibility,Uyển chuyển
architectural,kiến trúc.
batteries,pin
competition,sự cạnh tranh
composite,composite.
convertible,mui trần.
introduce,giới thiệu
humanities,Nhân văn
knowledgestorm,am hiểu
armstrong,Armstrong.
resistant,Chống lại
certified,chứng nhận
negotiation,Đàm phán
encouraged,động viên
somewhere,một vài nơi
accommodation,chỗ ở
nightmare,Cơn ác mộng
addressed,giải quyết
commodity,hàng hóa
collectables,sưu tầm
components,các thành phần
westminster,Westminster.
essentials,nhu yếu phẩm
boulevard,Đại lộ.
quarterly,hàng quý
charleston,Charleston.
political,thuộc về chính trị
coordinator,Điều phối viên.
signatures,Chữ ký
industries,các ngành nghề
consequence,kết quả
requirements,Yêu cầu
modification,sửa đổi.
calculation,phép tính
convicted,bị kết án
spokesman,Phát ngôn viên
following,tiếp theo
statistics,số liệu thống kê
receptors,thụ thể
healthcare,chăm sóc sức khỏe
controversial,gây tranh cãi
priorities,ưu tiên
christine,Christine.
attempting,cố gắng
wondering,tự hỏi
governance,quản trị.
pharmaceutical,dược phẩm
literally,theo đúng nghĩa đen
purchases,mua hàng
intermediate,Trung cấp
establishing,thiết lập
announcements,Thông báo
louisville,Louisville.
conscious,biết rõ
differential,vi phân.
innovation,sự đổi mới
correction,điều chỉnh
conditions,các điều kiện
participant,Người tham gia
arlington,arlington.
organizing,TỔ CHỨC.
passwords,Mật khẩu.
construct,xây dựng
restriction,sự hạn chế
inflation,Lạm phát.
improvement,sự cải tiến
robertson,Robertson.
replacement,thay thế.
directions,hướng
calculations,tính toán
remarkable,đáng chú ý
ultimately,cuối cùng
penetration,thâm nhập
correspondence,thư tín
constraints,hạn chế
preceding,trước đó
contributed,đóng góp.
worldwide,trên toàn thế giới
especially,đặc biệt là
centuries,thế kỉ
volkswagen,Volkswagen.
discussions,Thảo luận
automatically,tự động
environments,môi trường
excluding,không bao gồm
hypothesis,giả thuyết.
interface,Giao diện
transition,Chuyển đổi
syndicate,syndicate.
specified,quy định
screening,sàng lọc
recipient,người nhận
statistical,thống kê.
instrumental,nhạc cụ.
capability,Khả năng
synthesis,Tổng hợp
authentication,xác thực
corporate,CÔNG TY.
phentermine,phentermine.
housewives,Các bà nội trợ
bibliographic,thư mục.
definitions,các định nghĩa
geological,Địa chất học
traditions,truyền thống
assumption,giả thiết
assembled,lắp ráp.
retrieved,Lấy lại
contributor,đóng góp.
instrumentation,thiết bị đo đạc
professor,giáo sư
constraint,hạn chế
medications,thuốc
analytical,phân tích
assurance,Đảm bảo
experimental,thực nghiệm
candidates,ứng viên
acdbentity,ACDBENTITY.
miscellaneous,Điều khoản khác
implemented,thực hiện.
filtering,Lọc
discrimination,phân biệt
identification,nhận biết
gardening,làm vườn
exhibition,buổi triển lãm
arbitration,Trọng tài
newspaper,báo chí
intellectual,trí thức.
mathematics,toán học
suggested,đề nghị
standards,tiêu chuẩn
annotated,chú thích
generation,thế hệ
integrating,tích hợp.
divisions,Bộ phận
restaurant,nhà hàng
prominent,nổi bật
reflections,phản chiếu
projection,Dự đoán
abandoned,bị bỏ rơi
recorders,máy ghi âm
listprice,bảng giá
suffering,đau khổ
populations,dân số.
definitely,chắc chắn
therefore,vì thế
neighborhood,hàng xóm
immigrants,Những người nhập cư
principles,Nguyên tắc
computation,Tính toán
artificial,nhân tạo
workstation,máy trạm
motherboard,bo mạch chủ
instruments,dụng cụ
occurrence,tần suất xảy ra
advertiser,Nhà quảng cáo
reflected,phản ánh
investments,đầu tư
inquiries,Thắc mắc
relations,Quan hệ
exercises,Bài tập
southampton,Southampton.
defensive,phòng ngự
pharmaceuticals,dược phẩm.
objective,khách quan
petersburg,Petersburg.
describing,miêu tả
participate,tham gia
certificates,Giấy chứng nhận
compounds,Các hợp chất
bandwidth,băng thông
classroom,lớp học
available,có sẵn
newfoundland,Newfoundland.
appreciated,đánh giá cao
clearance,giải tỏa
wikipedia,Wikipedia.
restoration,sự phục hồi
architects,Kiến trúc sư
placement,Vị trí
frontpage,FrontPage.
functional,chức năng.
chronicles,Biên niên sử
mediawiki,MediaWiki.
renaissance,Phục hưng.
consequently,hậu quả là
mountains,núi
telephony,điện thoại.
uncertainty,tính không chắc chắn
signature,Chữ ký
counseling,Tư vấn
functionality,chức năng.
facilitate,tạo điều kiện
demonstrated,chứng minh
moderator,Người điều hành.
gradually,dần dần
solutions,các giải pháp
panasonic,Panasonic.
motivation,động lực
september,Tháng Chín
upgrading,nâng cấp.
prediction,sự dự đoán
consultancy,Tư vấn
surprised,ngạc nhiên
stockholm,X-tốc-khôm
determined,xác định
california,California.
functions,chức năng
converter,chuyển đổi.
encountered,đã gặp
guarantees,ĐẢM BẢO.
collectible,Sưu tập
publications,Ấn phẩm.
subjective,chủ quan
pollution,sự ô nhiễm
intensive,căng
survivors,những người sống sót
translations,Bản dịch
greetings,lời chào hỏi
blackjack,blackjack.
producers,nhà sản xuất
sophisticated,tinh vi
expensive,đắt
librarian,thủ thư
pennsylvania,Pennsylvania.
guestbook,Sổ lưu niệm
synthetic,Tổng hợp
hungarian,người Hungary
democratic,Dân chủ
physically,thể chất
difficult,khó khăn
production,sản xuất
difficulties,nỗi khó khăn
entrepreneur,Doanh nhân
identified,xác định
referenced,tham khảo
preservation,sự bảo tồn
mechanism,cơ chế.
huntington,Huntington.
marijuana,cần sa
proposition,Dự luật
maternity,thai sản.
initiative,sáng kiến
rehabilitation,Phục hồi chức năng
secretary,Thư ký
disclaimers,Tuyên bố miễn trừ trách nhiệm
practical,thực tế
territories,Lãnh thổ
projector,máy chiếu
excellence,xuất sắc
committee,Ủy ban
festivals,lễ hội.
nominations,Đề cử.
addiction,nghiện
inspector,Thanh tra
respective,tương ứng
correctly,chính xác.
approximately,khoảng
responsibility,nhiệm vụ
qualities,phẩm chất
provisions,điều khoản
direction,phương hướng
concentration,sự tập trung
communist,Cộng sản
anticipated,dự đoán
insertion,chèn
movements,sự di chuyển
background,lai lịch
projected,dự kiến
formation,sự hình thành
photographic,chụp ảnh.
generator,máy phát điện
aggregate,tổng hợp
professionals,Chuyên gia
supporters,Những người ủng hộ
violations,Vi phạm
delegation,phái đoàn
thousands,Hàng ngàn.
expertise,Chuyên môn.
convinced,thuyết phục.
championship,chức vô địch
induction,hướng dẫn
reasoning,lý luận
decorative,trang trí.
phenomenon,hiện tượng
fairfield,công bằng.
standings,Bảng xếp hạng
admission,nhận vào
calendars,lịch.
inappropriate,không thích hợp
confidential,bảo mật
instructor,Giảng viên
headlines,tiêu đề.
presidential,Tổng thống.
extraction,khai thác
libraries,Thư viện.
disclaimer,Tuyên bố miễn trừ trách nhiệm
technological,Công nghệ.
celebrate,ăn mừng
delicious,ngon
unexpected,bất ngờ
particles,vật rất nhỏ
neighbors,người hàng xóm
expressions,biểu thức
advertise,Quảng cáo
substance,chất
sponsored,tài trợ.
marketplace,thương trường
communications,Truyền thông
employment,thuê người làm
wonderful,Tuyệt vời
everything,mọi thứ
presently,Hiện tại
introductory,Giới thiệu
reservation,Dự phòng
compressed,nén
connecticut,Connecticut.
registered,đăng ký
collecting,sưu tập
antivirus,diệt virus
conjunction,sự liên kết
circulation,vòng tuần hoàn
companies,các công ty
commodities,hàng hóa
possession,chiếm hữu
restructuring,tái cấu trúc
communities,cộng đồng
organisms,sinh vật
qualifying,đủ điều kiện
containing,chứa
alexander,Alexander.
millennium,thiên niên kỷ.
descending,giảm dần.
arthritis,viêm khớp
manhattan,thành phố Manhattan
thumbnails,hình thu nhỏ
quantitative,định lượng
assumptions,giả định
simplified,giản thể
acceptable,chấp nhận
destruction,sự phá hủy
confident,tự tin
perceived,nhận thức
unsubscribe,hủy đăng ký
strategic,chiến lược.
directories,Thư mục.
pathology,bệnh lý.
transformation,chuyển đổi.
systematic,có hệ thống.
apparently,rõ ràng
mechanical,cơ khí
executives,giám đốc điều hành
powerseller,Powerseller.
accommodations,Chỗ ở
withdrawal,rút tiền
operational,Hoạt động
positions,vị trí
transportation,vận tải
accessory,phụ kiện
switching,Chuyển đổi
composition,thành phần
publicity,công khai
admissions,Tuyển sinh
fisheries,thủy sản
published,được phát hành
portfolio,Danh mục đầu tư
diagnostic,Chẩn đoán
discussing,thảo luận
beginning,bắt đầu
awareness,nhận thức
terrorist,khủng bố
incorporate,kết hợp
showtimes,lịch chiếu phim
practitioner,người hành nghề
childrens,trẻ em
appropriate,thích hợp
increasingly,ngày càng
prevention,Phòng ngừa
omissions,thiếu sót
immediately,ngay lập tức
notification,thông báo
furthermore,Hơn nữa.
disorders,rối loạn.
extensive,sâu rộng
organizational,tổ chức.
suggestions,Gợi ý
galleries,phòng trưng bày
convention,quy ước
abilities,Khả năng
pharmacology,dược lý.
administrative,hành chính
distributors,Nhà phân phối.
accessing,truy cập
enforcement,thực thi
machinery,Máy móc
suggesting,Đề xuất
connector,tư nối
behavioral,hành vi.
commercial,thương mại
suspected,nghi ngờ
adventures,Cuộc phiêu lưu
entrepreneurs,Doanh nhân
transparency,minh bạch
mortality,Tỷ lệ tử vong
litigation,Vụ kiện
regulated,quy định.
respectively,tương ứng
nottingham,Nottingham.
printable,có thể in
recreational,giải trí
temporary,tạm thời
textbooks,sách giáo khoa
sufficiently,đầy đủ
interactive,tương tác
gathering,thu thập
differently,khác nhau
restaurants,Nhà hàng
coordinates,tọa độ.
expiration,hết hạn
brochures,tài liệu quảng cáo
philippines,Philippines
configurations,cấu hình
representations,đại diện
treatments,phương pháp điều trị
existence,sự tồn tại
challenge,thách đấu
agreement,hợp đồng
meaningful,có ý nghĩa
contained,chứa
sentences,câu phù hợp
decisions,quyết định
spiritual,tâm linh.
incentive,khích lệ
newcastle,Newcastle.
representing,đại diện
colleagues,đồng nghiệp
appreciation,sự đánh giá
exclusive,loại trừ
breakdown,phá vỡ
traveller,khách du lịch
friendship,hữu nghị
regularly,thường xuyên
visibility,hiển thị
laboratories,các phòng thí nghiệm
satellite,vệ tinh
evolution,sự phát triển
networking,Mạng.
charitable,từ thiện
reviewing,xem xét
specifies,Chỉ định.
attachment,tập tin đính kèm
certification,chứng nhận.
territory,lãnh thổ
metropolitan,Metropolitan.
examinations,kiểm tra
immunology,Miễn dịch học.
relevance,sự liên quan.
attribute,thuộc tính
accurately,chính xác
community,cộng đồng
improvements,cải tiến
surrounding,xung quanh
regulation,Quy định
duplicate,bản sao
answering,TRẢ LỜI.
scholarship,học bổng
promotion,khuyến mãi
comparing,so sánh
continent,Châu lục
logistics,Logistics
stability,sự ổn định
detective,thám tử
profession,chuyên nghiệp
moderators,Người điều hành
thereafter,sau đó
districts,quận
invitation,Thư mời
motivated,động lực
locations,địa điểm
interaction,sự tương tác
presented,trình bày
installing,lắp đặt.
technical,kỹ thuật
environment,môi trường
yesterday,hôm qua
collected,thu thập
infringement,sự vi phạm
remaining,còn lại
conferencing,hội nghị
investigations,điều tra
notebooks,sổ ghi chép
completely,hoàn toàn
conversion,chuyển đổi.
subdivision,phân khu.
attempted,đã cố gắng
estimation,ước lượng
graduates,tốt nghiệp
effective,có hiệu lực
programmer,lập trình viên
microwave,lò vi sóng
economies,kinh tế
formatting,định dạng.
amendments,sửa đổi
controlling,Kiểm soát
calculate,tính toán
animation,Hoạt hình
coordinated,phối hợp
molecules,phân tử.
fragrances,Nước hoa
contracts,hợp đồng.
measuring,đo lường
photoshop,photoshop.
historical,lịch sử
webmaster,quản trị trang web.
legendary,Legendary.
acknowledge,công nhận
happening,đang xảy ra
mainstream,Xu hướng
northwest,Tây Bắc
screenshots,Ảnh chụp màn hình
occupations,nghề nghiệp
arrangement,sự sắp xếp
