English,Vietnamese
springfield,Springfield.
synthesis,Tổng hợp
undefined,chưa xác định
unemployment,thất nghiệp
enhancement,sự nâng cao
newcastle,Newcastle.
performances,biểu diễn
societies,xã hội
brazilian,người nước Brazil
identical,giống hệt nhau
petroleum,dầu mỏ.
norwegian,Na Uy
retention,giữ lại
exchanges,TRAO ĐỔI.
soundtrack,nhạc phim
wondering,tự hỏi
profession,chuyên nghiệp
separately,riêng biệt
physiology,Sinh lý học.
collecting,sưu tập
participant,Người tham gia
scholarships,học bổng.
recreational,giải trí
friendship,hữu nghị
expanding,Mở rộng
provincial,Tỉnh
investigations,điều tra
medications,thuốc
rochester,Rochester.
advertiser,Nhà quảng cáo
encryption,Mã hóa
downloadable,Tải về
sophisticated,tinh vi
possession,chiếm hữu
vegetables,rau
thumbnails,hình thu nhỏ
stockings,vớ.
respondent,Bị đơn
destroyed,bị phá hủy.
manufacture,Sản xuất
wordpress,wordpress.
vulnerability,Lỗ hổng
accountability,trách nhiệm giải trình
celebrate,ăn mừng
accredited,công nhận
appliance,thiết bị
compressed,nén
scheduling,Lên lịch
perspectives,quan điểm
mortality,Tỷ lệ tử vong
christians,Thiên Chúa giáo
therapeutic,trị liệu.
impressive,ấn tượng
accordingly,Theo đó
architect,kiến trúc sư
challenging,thách thức
microwave,lò vi sóng
accidents,tai nạn
relocation,tái định cư
contributors,Người đóng góp.
violations,Vi phạm
temperatures,nhiệt độ
competitions,thi đấu.
discretion,tùy ý
cosmetics,mỹ phẩm.
concentrations,nồng độ.
christianity,Kitô giáo.
negotiations,Đàm phán
realistic,thực tế
christina,Christina.
congressional,Quốc hội
photographic,chụp ảnh.
modifications,sửa đổi.
millennium,thiên niên kỷ.
achieving,đạt được
fisheries,thủy sản
exceptions,Ngoại lệ
reactions,phản ứng
macromedia,macromedia.
companion,đồng hành
divisions,Bộ phận
additionally,Ngoài ra
fellowship,tình bằng hữu
victorian,Victoria.
copyrights,Bản quyền
lithuania,Litva.
mastercard,Mastercard.
chronicles,Biên niên sử
obtaining,có được
distribute,phân phát
decorative,trang trí.
enlargement,mở rộng.
campaigns,Chiến dịch
conjunction,sự liên kết
instances,trường hợp
indigenous,bản địa
validation,Thẩm định
corruption,tham nhũng.
incentives,ưu đãi
cholesterol,cholesterol.
differential,vi phân.
scientist,nhà khoa học.
starsmerchant,StarsMerchant.
arthritis,viêm khớp
nevertheless,Tuy nhiên
practitioners,học viên
transcript,bảng điểm
inflation,Lạm phát.
compounds,Các hợp chất
contracting,ký kết
structured,Cấu trúc.
reasonably,hợp lý
graduates,tốt nghiệp
recommends,Đề nghị
controlling,Kiểm soát
distributors,Nhà phân phối.
arlington,arlington.
particles,vật rất nhỏ
extraordinary,đặc biệt
indicating,chỉ ra
coordinate,danh từ: Tọa độ
exclusively,duy nhất
limitation,giới hạn.
widescreen,Màn hình rộng
illustration,hình minh họa
inquiries,Thắc mắc
inspiration,nguồn cảm hứng
affecting,ảnh hưởng đến
downloading,Tải về
aggregate,tổng hợp
forecasts,dự báo
complicated,phức tạp
shopzilla,Shopzilla.
decorating,trang trí.
expressions,biểu thức
shakespeare,Shakespeare.
connectors,kết nối
conflicts,Xung đột
travelers,Du khách
offerings,dịch vụ
incorrect,không đúng
furnishings,Nội thất
guatemala,Guatemala.
perception,sự nhận thức
renaissance,Phục hưng.
pathology,bệnh lý.
ordinance,Pháp lệnh.
photographers,nhiếp ảnh gia
infections,Nhiễm trùng
configured,cấu hình
festivals,lễ hội.
possibilities,khả năng
contributing,đóng góp
analytical,phân tích
circulation,vòng tuần hoàn
assumption,giả thiết
jerusalem,Jerusalem.
invention,phát minh
technician,kỹ thuật viên
executives,giám đốc điều hành
enquiries,Thắc mắc
cognitive,nhận thức
exploring,khám phá
registrar,Nhà đăng ký.
supporters,Những người ủng hộ
withdrawal,rút tiền
predicted,dự đoán
saskatchewan,Saskatchewan.
cancellation,hủy bỏ
ministers,Bộ trưởng
veterinary,Thú y.
prostores,tiền liệt tuyến
relevance,sự liên quan.
incentive,khích lệ
butterfly,Con bướm
mechanics,Cơ học.
numerical,số.
reflection,sự phản xạ
accompanied,kèm theo
invitation,Thư mời
princeton,Princeton.
spirituality,Tâm linh.
meanwhile,Trong khi đó
proprietary,chủ sở hữu
childrens,trẻ em
porcelain,sứ
pichunter,pichunter.
translated,dịch.
columnists,chuyên mục
consensus,đoàn kết
delivering,giao hàng.
journalism,Báo chí.
intention,chủ đích
undertaken,thực hiện
statewide,tiểu bang
semiconductor,bán dẫn
illustrations,Hình minh họa
happiness,niềm hạnh phúc
substantially,đáng kể
identifier,định danh.
calculations,tính toán
conducting,tiến hành
accomplished,hoàn thành
impression,ấn tượng
correlation,tương quan
fragrance,Nước hoa
neighbors,người hàng xóm
transparent,trong suốt
charleston,Charleston.
champions,Nhà vô địch.
selections,lựa chọn
projectors,máy chiếu
inappropriate,không thích hợp
comparing,so sánh
vocational,Dạy nghề
pharmacies,Nhà thuốc
introducing,Giới thiệu.
appreciated,đánh giá cao
albuquerque,albuquerque
distinguished,phân biệt.
projected,dự kiến
assumptions,giả định
shareholders,Cổ đông
developmental,phát triển
regulated,quy định.
anticipated,dự đoán
completing,hoàn thành
comparable,so sánh
confusion,sự hoang mang
copyrighted,Bản quyền
warranties,bảo hành
documented,ghi lại
paperbacks,Bìa mềm
keyboards,những bàn phím
vulnerable,dễ bị tổn thương
reflected,phản ánh
respiratory,hô hấp.
notifications,thông báo.
transexual,transexual.
mainstream,Xu hướng
evaluating,đánh giá.
subcommittee,Tiểu ban
maternity,thai sản.
foundations,nền tảng.
volleyball,bóng chuyền
liabilities,TRÁCH NHIỆM PHÁP LÝ
tolerance,lòng khoan dung
describing,miêu tả
lightning,Lightning.
quotations,Trích dẫn
inspector,Thanh tra
bookmarks,Dấu trang.
behavioral,hành vi.
riverside,ven sông.
bathrooms,Phòng tắm
abilities,Khả năng
initiated,bắt đầu
nonprofit,phi lợi nhuận.
lancaster,Lancaster.
suspended,cấm
containers,hộp đựng
attitudes,thái độ.
simultaneously,đồng thời.
integrate,tích hợp
sociology,Xã hội học.
screenshot,Ảnh chụp màn hình
exhibitions,triển lãm
confident,tự tin
retrieved,Lấy lại
officially,Chính thức
consortium,Hiệp hội
recipients,người nhận
delicious,ngon
traditions,truyền thống
periodically,định kỳ
hungarian,người Hungary
referring,Giới thiệu
transform,biến đổi
educators,Nhà giáo dục
vegetable,rau
humanities,Nhân văn
independently,độc lập
alignment,liên kết
britannica,Britannica.
visibility,hiển thị
consciousness,ý thức
resolutions,nghị quyết
accessing,truy cập
attempted,đã cố gắng
witnesses,Nhân chứng
administered,quản lý
strengthen,củng cố
frederick,Frederick.
aggressive,xâm lược
advertisements,quảng cáo
sublimedirectory,Sublimedirectory.
disturbed,bị làm phiền
determines,xác định.
sculpture,điêu khắc
motivation,động lực
pharmacology,dược lý.
passengers,hành khách
quantities,số lượng
petersburg,Petersburg.
consistently,nhất quán
powerpoint,Powerpoint.
obituaries,phó tín
punishment,hình phạt.
appreciation,sự đánh giá
subsequently,sau đó
providence,Providence
restriction,sự hạn chế
incorporate,kết hợp
backgrounds,tầng lớp
treasurer,Thủ quỹ
lightweight,Nhẹ
transcription,phiên mã
complications,biến chứng
scripting,kịch bản
remembered,nhớ
synthetic,Tổng hợp
testament,Di chúc.
specifics,Cụ thể
partially,một phần.
wilderness,hoang dã
generations,các thế hệ
tournaments,giải đấu
sponsorship,sự tài trợ
headphones,tai nghe
proceeding,tiến hành
volkswagen,Volkswagen.
uncertainty,tính không chắc chắn
breakdown,phá vỡ
reconstruction,Tái thiết
subsidiary,công ty con
strengths,điểm mạnh
encouraging,khuyến khích.
furnished,trang bị
comparisons,so sánh
beneficial,có lợi
distributions,phân phối.
viewpicture,ViewPicture.
threatened,bị đe dọa
republicans,Cộng hòa
discusses,thảo luận
responded,trả lời
abstracts,tóm tắt
prediction,sự dự đoán
pharmaceuticals,dược phẩm.
thesaurus,lesaurus.
individually,cá nhân.
battlefield,chiến trường
literally,theo đúng nghĩa đen
ecological,sinh thái
appraisal,thẩm định
consisting,bao gồm
submitting,ĐĂNG KÝ
citations,Trích dẫn
geographical,địa lý.
mozambique,Mozambique.
disclaimers,Tuyên bố miễn trừ trách nhiệm
championships,Giải vô địch
sheffield,sheffield.
finishing,hoàn thiện
wellington,Wellington.
prospects,tương lai
bulgarian,Bulgaria
aboriginal,thổ dân.
remarkable,đáng chú ý
preventing,Ngăn chặn
productive,năng suất
boulevard,Đại lộ.
compliant,tuân thủ
penalties,hình phạt
imagination,trí tưởng tượng
refurbished,Tân trang lại
activated,kích hoạt
conferencing,hội nghị
armstrong,Armstrong.
politicians,chính trị gia.
trackbacks,trackbacks.
accommodate,cung cấp
christine,Christine.
accepting,chấp nhận
precipitation,sự kết tủa
isolation,sự cô lập
sustained,duy trì
approximate,gần đúng
programmer,lập trình viên
greetings,lời chào hỏi
inherited,thừa hưởng
incomplete,chưa hoàn thiện
chronicle,ghi chép lại
legitimate,hợp pháp
biographies,tiểu sử.
plaintiff,Nguyên đơn
prisoners,tù nhân
mediterranean,Địa Trung Hải.
nightlife,Cuộc sống về đêm
architects,Kiến trúc sư
entrepreneur,Doanh nhân
freelance,tự do.
excessive,quá đáng
screensaver,bảo vệ màn hình
valuation,định giá
unexpected,bất ngờ
cigarette,thuốc lá
characteristic,đặc điểm.
metallica,Metallica.
consequently,hậu quả là
appointments,Các cuộc hẹn
narrative,chuyện kể
academics,học thuật
quantitative,định lượng
screensavers,Trình bảo vệ màn hình
subdivision,phân khu.
distinction,phân biệt
livestock,Chăn nuôi.
exemption,Miễn trừ
sustainability,Sự bền vững
formatting,định dạng.
nutritional,dinh dưỡng
nicaragua,nicaragua.
affiliation,Chi nhánh
relatives,họ hàng
satisfactory,thỏa đáng
revolutionary,Cách mạng.
bracelets,vòng tay.
telephony,điện thoại.
breathing,thở
thickness,Độ dày
adjustments,điều chỉnh.
graphical,đồ họa.
discussing,thảo luận
aerospace,không gian vũ trụ
meaningful,có ý nghĩa
maintains,duy trì
shortcuts,Phím tắt.
voyeurweb,Voyeurweb.
extending,kéo dài.
specifies,Chỉ định.
accreditation,công nhận
blackberry,BlackBerry.
meditation,thiền
microphone,cái mic cờ rô
macedonia,macedonia.
combining,kết hợp
instrumental,nhạc cụ.
organizing,TỔ CHỨC.
moderators,Người điều hành
kazakhstan,Kazakhstan.
standings,Bảng xếp hạng
partition,vách ngăn
invisible,vô hình
translations,Bản dịch
commodity,hàng hóa
kilometers,Kilômét
thanksgiving,Lễ Tạ ơn
guarantees,ĐẢM BẢO.
indication,chỉ định.
congratulations,Xin chúc mừng
cigarettes,Thuốc lá
controllers,Bộ điều khiển
consultancy,Tư vấn
conventions,công ước
coordinates,tọa độ.
responding,đáp ứng
physically,thể chất
stakeholders,Các bên liên quan
hydrocodone,Hydrocodone.
consecutive,liên tục
attempting,cố gắng
representations,đại diện
competing,cạnh tranh
peninsula,bán đảo.
accurately,chính xác
considers,xem xét
ministries,Các bộ.
vacancies,Vacancy.
parliamentary,nghị viên
acknowledge,công nhận
thoroughly,triệt để
nottingham,Nottingham.
identifies,xác định.
questionnaire,bảng câu hỏi
qualification,bằng cấp
modelling,mô hình hóa
miniature,thu nhỏ
interstate,Liên bang.
consequence,kết quả
systematic,có hệ thống.
perceived,nhận thức
madagascar,Madagascar.
presenting,trình bày
uzbekistan,Uzbekistan.
magnitude,kích cỡ
richardson,Richardson.
fragrances,Nước hoa
vocabulary,từ vựng
earthquake,động đất
fundraising,gây quỹ.
geological,Địa chất học
assessing,đánh giá.
introduces,Giới thiệu.
webmasters,quản trị web.
computational,tính toán
acdbentity,ACDBENTITY.
participated,tham gia
handhelds,Thiết bị cầm tay
answering,TRẢ LỜI.
impressed,ấn tượng
conspiracy,âm mưu.
organizer,tổ chức
combinations,kết hợp
preceding,trước đó
cumulative,tích lũy
amplifier,khuếch đại.
arbitrary,Bất kỳ
prominent,nổi bật
lexington,lexington.
contacted,liên lạc
recorders,máy ghi âm
occasional,thỉnh thoảng
innovations,đổi mới
postcards,bưu thiếp.
reviewing,xem xét
explicitly,rõ ràng
transsexual,Chuyển đổi giới tính
citizenship,quyền công dân
informative,nhiều thông tin
girlfriend,bạn gái
bloomberg,Bloomberg.
hierarchy,hệ thống cấp bậc
influenced,chịu ảnh hưởng
abandoned,bị bỏ rơi
complement,bổ sung
mauritius,Mauritius.
checklist,danh mục
requesting,yêu cầu
lauderdale,Lauderdale.
scenarios,kịch bản.
extraction,khai thác
elevation,độ cao
utilization,sử dụng
beverages,đồ uống
calibration,sự định cỡ
efficiently,hiệu quả
entertaining,giải trí
prerequisite,điều kiện tiên quyết
hypothesis,giả thuyết.
medicines,các loại thuốc
regression,hồi quy
enhancements,Cải tiến
renewable,tái tạo
intersection,ngã tư
passwords,Mật khẩu.
consistency,Tính nhất quán
collectors,Nhà sưu tập
azerbaijan,Azerbaijan.
astrology,chiêm tinh
occurring,xảy ra
supplemental,bổ sung
travelling,đi du lịch
induction,hướng dẫn
precisely,đúng
spreading,truyền bá
provinces,Các tỉnh
widespread,phổ biến rộng rãi
incidence,tỷ lệ mắc bệnh
incidents,sự cố
enhancing,nâng cao.
interference,sự can thiệp
palestine,Palestine.
listprice,bảng giá
atmospheric,khí quyển
knowledgestorm,am hiểu
publicity,công khai
proposition,Dự luật
allowance,phụ cấp
designation,Chỉ định.
duplicate,bản sao
criterion,tiêu chuẩn
civilization,nền văn minh
vietnamese,Tiếng Việt
tremendous,TUYỆT VỜI.
encountered,đã gặp
internationally,quốc tế
surrounded,Được bao quanh
creatures,sinh vật
commented,bình luận
accomplish,hoàn thành
vegetarian,người ăn chay
newfoundland,Newfoundland.
ambassador,Đại sứ.
stephanie,Stephanie.
vegetation,thảm thực vật
findarticles,Findarticles.
specially,Đặc biệt.
infectious,lây nhiễm.
continuity,liên tục
phenomenon,hiện tượng
conscious,biết rõ
referrals,giới thiệu
differently,khác nhau
integrating,tích hợp.
revisions,sửa đổi
reasoning,lý luận
charitable,từ thiện
annotated,chú thích
convinced,thuyết phục.
burlington,Burlington.
replacing,thay thế
researcher,nhà nghiên cứu
watershed,đầu nguồn
occupations,nghề nghiệp
acknowledged,thừa nhận
equilibrium,cân bằng
characterized,đặc trưng
privilege,Đặc quyền
qualifying,đủ điều kiện
estimation,ước lượng
pediatric,nhi khoa
techrepublic,TechRepublic.
institutes,Viện
brochures,tài liệu quảng cáo
traveller,khách du lịch
appropriations,chiếm đoạt.
suspected,nghi ngờ
benchmark,chuẩn mực
beginners,người mới bắt đầu
instructors,giáo viên hướng dẫn
highlighted,nhấn mạnh
stationery,Văn phòng phẩm
unauthorized,không được phép
competent,có thẩm quyền
contributor,đóng góp.
demonstrates,chứng minh.
gradually,dần dần
desirable,mong muốn
journalist,nhà báo
afterwards,sau đó
religions,tôn giáo
explosion,nổ
signatures,Chữ ký
disciplines,kỷ luật
daughters,con gái
conversations,Cuộc trò chuyện
simplified,giản thể
motherboard,bo mạch chủ
bibliographic,thư mục.
deviation,sai lệch
superintendent,Giám thị.
housewives,Các bà nội trợ
influences,ảnh hưởng
inspections,KIỂM TRA
irrigation,thủy lợi
hydraulic,thủy lực.
robertson,Robertson.
penetration,thâm nhập
conviction,"lòng tin chắc, sự kết án, phán quyết"
omissions,thiếu sót
retrieval,lấy lại.
qualities,phẩm chất
prototype,nguyên mẫu
importantly,quan trọng
apparatus,Thiết bị
explaining,giải thích
nomination,sự đề cử
empirical,thực nghiệm
dependence,sự phụ thuộc
sexuality,tình dục
polyester,polyester
commitments,cam kết
suggesting,Đề xuất
remainder,phần còn lại
privileges,đặc quyền
televisions,Ti vi
specializing,Chuyên
commodities,hàng hóa
motorcycles,xe máy
concentrate,tập trung
reproductive,sinh sản.
molecules,phân tử.
refrigerator,tủ lạnh
intervals,khoảng thời gian
sentences,câu phù hợp
exclusion,loại trừ.
workstation,máy trạm
holocaust,Holocaust.
receivers,người nhận
disposition,bố trí
navigator,hoa tiêu
investigators,điều tra viên
marijuana,cần sa
cathedral,Thánh đường
fairfield,công bằng.
fascinating,lôi cuốn
landscapes,cảnh quan.
lafayette,Lafayette.
computation,Tính toán
cardiovascular,tim mạch.
salvation,sự cứu rỗi.
predictions,phỏng đoán
accompanying,đi cùng
selective,chọn lọc.
arbitration,Trọng tài
configuring,cấu hình.
editorials,Biên tập
sacrifice,hy sinh
removable,có thể tháo rời
convergence,hội tụ.
gibraltar,Gibraltar.
anthropology,Nhân chủng học.
malpractice,sai lầm
reporters,những phóng viên
necessity,sự cần thiết
rendering,kết xuất.
hepatitis,viêm gan.
nationally,quốc gia
waterproof,không thấm nước
specialties,Đặc sản
humanitarian,nhân đạo.
invitations,lời mời
functioning,hoạt động
economies,kinh tế
alexandria,Alexandria.
bacterial,vi khuẩn.
undertake,thực hiện
continuously,liên tục
achievements,thành tựu
convertible,mui trần.
secretariat,Ban thư ký
paragraphs,Đoạn văn.
adolescent,thanh niên
nominations,Đề cử.
cancelled,hủy bỏ
introductory,Giới thiệu
reservoir,Hồ chứa
occurrence,tần suất xảy ra
worcester,Worcester.
demographic,nhân khẩu học
disciplinary,kỷ luật
respected,tôn trọng
portraits,chân dung
interpreted,giải thích
evaluations,đánh giá
hypothetical,giả thuyết.
immigrants,Những người nhập cư
complimentary,ca ngợi
helicopter,trực thăng
performer,biểu diễn
commissions,Hoa hồng
powerseller,Powerseller.
graduated,đã tốt nghiệp
surprising,thật ngạc nhiên
unnecessary,không cần thiết
dramatically,đáng kể
yugoslavia,yugoslavia.
characterization,đặc điểm hóa
likelihood,Khả năng
fundamentals,nguyên tắc cơ bản
contamination,ô nhiễm
endangered,nguy cơ tuyệt chủng
compromise,sự thỏa hiệp
expiration,hết hạn
namespace,không gian tên.
peripheral,ngoại vi.
negotiation,Đàm phán
opponents,đối thủ
nominated,Đề cử
confidentiality,bảo mật
electoral,bầu cử.
changelog,Changelog.
alternatively,Hoặc
greensboro,Greensboro.
controversial,gây tranh cãi
recovered,phục hồi
upgrading,nâng cấp.
frontpage,FrontPage.
demanding,đòi hỏi
defensive,phòng ngự
forbidden,cấm
programmers,lập trình viên
monitored,theo dõi
installations,lắp đặt.
deutschland,Deutschland.
practitioner,người hành nghề
motivated,động lực
smithsonian,Smithsonian.
examining,kiểm tra.
revelation,Khải huyền
delegation,phái đoàn
dictionaries,Từ điển.
greenhouse,nhà kính
transparency,minh bạch
currencies,tiền tệ
survivors,những người sống sót
positioning,định vị
descending,giảm dần.
temporarily,một cách tạm thời
frequencies,tần số
reflections,phản chiếu
municipality,Đô thị
detective,thám tử
experiencing,trải nghiệm
fireplace,lò sưởi
endorsement,chứng thực.
psychiatry,Tâm thần học
persistent,kiên trì
summaries,tóm tắt
looksmart,nhìn thông minh
colleague,đồng nghiệp
adaptation,thích ứng
paintball,paintball.
enclosure,bao vây
supervisors,Giám sát viên
westminster,Westminster.
distances,khoảng cách
absorption,hấp thụ
treasures,Châu báu
transcripts,bảng điểm
disappointed,thất vọng
continually,liên tục
communist,Cộng sản
collectible,Sưu tập
entrepreneurs,Doanh nhân
creations,sáng tạo
acquisitions,mua lại.
biodiversity,sự đa dạng sinh học
excitement,phấn khích
presently,Hiện tại
mysterious,bí ẩn.
librarian,thủ thư
subsidiaries,công ty con.
stockholm,X-tốc-khôm
indonesian,Indonesia
therapist,nhà trị liệu.
promising,Hứa hẹn
relaxation,thư giãn
thereafter,sau đó
commissioners,Ủy viên
forwarding,chuyển tiếp
nightmare,Cơn ác mộng
reductions,giảm
southampton,Southampton.
organisms,sinh vật
telescope,Kính thiên văn
portsmouth,Portsmouth.
advancement,thăng tiến.
harassment,quấy rối.
generators,máy phát điện
replication,nhân rộng
inexpensive,không tốn kém
receptors,thụ thể
interventions,can thiệp
huntington,Huntington.
internship,kỳ thực tập
aluminium,nhôm
snowboard,trượt tuyết
beastality,beastality.
evanescence,biến mất.
coordinated,phối hợp
shipments,Lô hàng.
antarctica,Nam Cực
chancellor,Chancellor.
controversy,tranh cãi
legendary,Legendary.
beautifully,Đẹp
antibodies,kháng thể
examinations,kiểm tra
immunology,Miễn dịch học.
departmental,SỞ
terminology,thuật ngữ
gentleman,Quý ông.
reproduce,tái sản xuất
convicted,bị kết án
roommates,Bạn cùng phòng
threatening,Đe dọa
spokesman,Phát ngôn viên
activists,nhà hoạt động
frankfurt,Frankfurt.
encourages,khuyến khích
assembled,lắp ráp.
restructuring,tái cấu trúc
terminals,thiết bị đầu cuối
simulations,mô phỏng
sufficiently,đầy đủ
crossword,ô chữ
conceptual,khái niệm.
liechtenstein,liechtenstein.
translator,dịch giả
automobiles,ô tô
continent,Châu lục
longitude,kinh độ
challenged,thách thức
telecharger,Telecharger.
insertion,chèn
instrumentation,thiết bị đo đạc
constraint,hạn chế
groundwater,Nước ngầm
strengthening,tăng cường
insulation,vật liệu cách nhiệt
infringement,sự vi phạm
subjective,chủ quan
swaziland,Swaziland.
varieties,Đẳng cấp
mediawiki,MediaWiki.
configurations,cấu hình
